#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
   -3.141592654 -103.498060437  -15.096318844
   -3.070995066 -104.423336668  -11.259348377
   -3.000397478 -105.109695054   -8.358882112
   -2.929799890 -105.617088338   -6.012740696
   -2.859202303 -105.957177799   -3.715709756
   -2.788604715 -106.110279668   -0.595106826
   -2.718007127 -106.040033439    2.590568011
   -2.647409540 -105.752416218    5.546419069
   -2.576811952 -105.258516907    8.409217059
   -2.506214364 -104.572055266   10.944306039
   -2.435616776 -103.729872984   12.766564741
   -2.365019189 -102.799785314   13.353767125
   -2.294421601 -101.869542116   12.919076380
   -2.223824013 -100.974983366   12.324083426
   -2.153226425 -100.125741739   11.863701904
   -2.082628838  -99.302863394   11.478037842
   -2.012031250  -98.524651852   10.588381404
   -1.941433662  -97.826365162    9.001722592
   -1.870836075  -97.276191391    6.449104089
   -1.800238487  -96.945359113    2.934411547
   -1.729640899  -96.869987638   -0.760566266
   -1.659043311  -97.044516037   -3.994398754
   -1.588445724  -97.392195330   -5.608325723
   -1.517848136  -97.782956382   -5.085649653
   -1.447250548  -98.057217045   -2.468001992
   -1.376652961  -98.074113685    2.147335207
   -1.306055373  -97.745040656    7.229945731
   -1.235457785  -97.055744668   12.264073029
   -1.164860197  -95.995764445   17.814106875
   -1.094262610  -94.536959220   23.508624998
   -1.023665022  -92.676492775   29.014217744
   -0.953067434  -90.461465458   33.469310451
   -0.882469847  -87.992137814   36.169309328
   -0.811872259  -85.386972622   37.341981219
   -0.741274671  -82.722030779   38.212949834
   -0.670677083  -79.980552016   39.681041784
   -0.600079496  -77.096575143   42.245600814
   -0.529481908  -74.013840354   45.115032511
   -0.458884320  -70.736371607   47.362156094
   -0.388286732  -67.389468803   46.981029979
   -0.317689145  -64.194931649   42.721493913
   -0.247091557  -61.448234197   34.434196501
   -0.176493969  -59.387376535   23.712215018
   -0.105896382  -58.107132478   12.840506747
   -0.035298794  -57.532849103    3.804517190
    0.035298794  -57.521152669   -3.292364200
    0.105896382  -58.004621012  -10.603090523
    0.176493969  -59.065148254  -19.769826566
    0.247091557  -60.824891788  -30.223685208
    0.317689145  -63.325067736  -40.199366106
    0.388286732  -66.436760373  -47.329570734
    0.458884320  -69.912795894  -50.687220479
    0.529481908  -73.533292885  -51.575269565
    0.600079496  -77.178678989  -51.559468946
    0.670677083  -80.801850021  -51.000444368
    0.741274671  -84.353132560  -49.441113579
    0.811872259  -87.742967008  -46.300615403
    0.882469847  -90.852783583  -41.497203713
    0.953067434  -93.568856927  -35.495163255
    1.023665022  -95.846628456  -28.944912142
    1.094262610  -97.651089193  -22.157351530
    1.164860197  -98.956930184  -14.761414785
    1.235457785  -99.701347730   -6.072159229
    1.306055373  -99.788586026    3.857767173
    1.376652961  -99.138406478   14.555691161
    1.447250548  -97.753922393   24.317663175
    1.517848136  -95.770797035   31.244700732
    1.588445724  -93.447588588   33.813373890
    1.659043311  -91.105374277   31.733903654
    1.729640899  -89.059641069   25.859565710
    1.800238487  -87.502364721   18.250206247
    1.870836075  -86.474855230   10.870333513
    1.941433662  -85.941063881    4.522646305
    2.012031250  -85.803582677   -0.324611131
    2.082628838  -85.941859316   -3.228011305
    2.153226425  -86.220198852   -4.549464231
    2.223824013  -86.579402348   -5.618213934
    2.294421601  -87.034217368   -7.443261934
    2.365019189  -87.666047381  -10.808094226
    2.435616776  -88.573111052  -14.888150321
    2.506214364  -89.758545148  -18.635515624
    2.576811952  -91.173773817  -21.143440953
    2.647409540  -92.698692754  -21.803075964
    2.718007127  -94.246109128  -21.929336401
    2.788604715  -95.806280636  -22.412255920
    2.859202303  -97.435474115  -23.725637361
    2.929799890  -99.132074110  -24.092345547
    3.000397478 -100.793442236  -22.600936230
    3.070995066 -102.281552419  -19.276488968
